win_rate,expected_win_rate,successful_win_rate,successful_loss_rate,bluff_rate,skill_average,skill balance,efficiency,gains,loss,nb_hands,elapse_time [s]
0.600000,0.600000,1.000000,0.750000,0.000000,0.700000,0.625000,0.437500,0.222222,0.222222,10,1926
0.400000,0.300000,1.000000,0.714286,0.142857,0.714286,0.628571,0.448980,0.200000,0.000000,10,1767
0.700000,0.800000,0.875000,1.000000,0.000000,0.750000,0.712500,0.534375,0.285714,0.000000,10,1765
0.500000,0.600000,0.833333,1.000000,0.000000,0.733333,0.683333,0.501111,0.000000,0.285714,10,1592
0.400000,0.300000,1.000000,0.714286,0.142857,0.714286,0.628571,0.448980,0.000000,0.000000,10,1422
0.700000,0.500000,1.000000,0.600000,0.400000,0.720000,0.600000,0.432000,0.375000,0.125000,10,1707
0.400000,0.600000,0.666667,0.500000,0.000000,0.466667,0.750000,0.350000,0.250000,0.125000,10,2026
0.600000,0.800000,0.750000,0.500000,0.000000,0.500000,0.675000,0.337500,0.333333,0.000000,10,1664
0.800000,0.500000,1.000000,0.400000,0.600000,0.680000,0.460000,0.312800,0.428571,0.000000,10,1980
0.800000,0.700000,0.857143,0.333333,0.666667,0.609524,0.528571,0.322177,0.444444,0.111111,10,1894
0.400000,0.300000,1.000000,0.571429,0.142857,0.657143,0.528571,0.347347,0.200000,0.200000,10,2216
0.400000,0.200000,1.000000,0.500000,0.250000,0.650000,0.500000,0.325000,0.300000,0.000000,10,2046
0.600000,0.400000,0.750000,0.333333,0.500000,0.533333,0.625000,0.333333,0.400000,0.100000,10,2146
0.300000,0.400000,0.500000,0.333333,0.166667,0.366667,0.816667,0.299444,0.100000,0.100000,10,2330
0.600000,0.700000,0.857143,0.666667,0.000000,0.609524,0.695238,0.423764,0.285714,0.000000,10,1890
0.500000,0.500000,0.600000,0.600000,0.400000,0.560000,0.960000,0.537600,0.307692,0.000000,10,1939
0.500000,0.500000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.333333,0.000000,10,1796
0.200000,0.400000,0.250000,0.333333,0.166667,0.266667,0.908333,0.242222,0.166667,0.250000,10,2403
0.700000,0.900000,0.777778,1.000000,0.000000,0.711111,0.644444,0.458272,0.375000,0.125000,10,1909
0.400000,0.400000,0.750000,0.666667,0.166667,0.600000,0.825000,0.495000,0.181818,0.090909,10,1804
0.100000,0.200000,0.500000,0.500000,0.000000,0.400000,0.900000,0.360000,0.090909,0.181818,10,2350
0.600000,0.400000,1.000000,0.500000,0.333333,0.666667,0.516667,0.344444,0.272727,0.181818,10,2200
0.400000,0.200000,1.000000,0.375000,0.250000,0.600000,0.412500,0.247500,0.111111,0.333333,10,2479
0.400000,0.200000,0.500000,0.500000,0.375000,0.475000,0.975000,0.463125,0.300000,0.000000,10,1985
0.300000,0.300000,0.666667,0.857143,0.142857,0.638095,0.723810,0.461859,0.000000,0.000000,10,1388
0.300000,0.300000,0.000000,0.571429,0.428571,0.314286,0.485714,0.152653,0.166667,0.083333,10,1940
0.300000,0.500000,0.200000,0.400000,0.400000,0.320000,0.820000,0.262400,0.125000,0.000000,10,1733
0.500000,0.600000,0.666667,0.750000,0.250000,0.616667,0.841667,0.519028,0.363636,0.000000,10,1873
0.600000,0.600000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.333333,0.166667,10,2123
0.500000,0.300000,1.000000,0.428571,0.285714,0.628571,0.457143,0.287347,0.300000,0.100000,10,2297
0.200000,0.400000,0.500000,0.500000,0.000000,0.400000,0.900000,0.360000,0.000000,0.300000,10,2108
0.300000,0.500000,0.600000,0.800000,0.000000,0.560000,0.700000,0.392000,0.181818,0.181818,10,2211
0.400000,0.400000,0.500000,0.666667,0.333333,0.533333,0.816667,0.435556,0.307692,0.000000,10,2071
0.500000,0.500000,0.800000,0.400000,0.200000,0.520000,0.600000,0.312000,0.300000,0.200000,10,2463
0.500000,0.200000,1.000000,0.375000,0.375000,0.625000,0.437500,0.273438,0.272727,0.181818,10,2199
0.400000,0.500000,0.800000,0.400000,0.000000,0.480000,0.560000,0.268800,0.125000,0.250000,10,2030
0.700000,0.700000,0.714286,0.333333,0.666667,0.552381,0.657143,0.362993,0.555556,0.000000,10,2118
0.600000,0.400000,0.250000,0.000000,0.833333,0.266667,0.658333,0.175556,0.400000,0.000000,10,2223
0.200000,0.500000,0.400000,0.800000,0.000000,0.480000,0.560000,0.268800,0.153846,0.230769,10,1975
0.500000,0.500000,0.800000,0.800000,0.200000,0.680000,0.880000,0.598400,0.200000,0.100000,10,1687
0.400000,0.400000,1.000000,0.666667,0.000000,0.666667,0.566667,0.377778,0.000000,0.375000,10,1917
0.200000,0.300000,0.666667,0.714286,0.000000,0.552381,0.823810,0.455057,0.000000,0.333333,10,2270
0.400000,0.300000,0.666667,0.285714,0.285714,0.438095,0.657143,0.287891,0.133333,0.333333,10,2199
0.300000,0.600000,0.500000,0.500000,0.000000,0.400000,0.900000,0.360000,0.083333,0.250000,10,1863
0.600000,0.700000,0.714286,0.666667,0.333333,0.619048,0.890476,0.551247,0.272727,0.090909,10,1799
0.200000,0.500000,0.400000,0.800000,0.000000,0.480000,0.560000,0.268800,0.000000,0.111111,10,1546
0.600000,0.500000,1.000000,0.200000,0.200000,0.520000,0.280000,0.145600,0.166667,0.333333,10,2025
0.400000,0.400000,0.750000,0.833333,0.166667,0.666667,0.808333,0.538889,0.166667,0.250000,10,2288
0.600000,0.700000,0.714286,0.666667,0.333333,0.619048,0.890476,0.551247,0.250000,0.125000,10,1875
0.500000,0.500000,0.800000,0.600000,0.200000,0.600000,0.740000,0.444000,0.230769,0.307692,10,1977
