win_rate,expected_win_rate,successful_win_rate,successful_loss_rate,bluff_rate,skill_average,skill balance,efficiency,gains,loss,nb_hands,elapse_time [s]
0.400000,0.400000,1.000000,0.833333,0.000000,0.733333,0.683333,0.501111,0.222222,0.222222,10,1926
0.600000,0.700000,0.857143,1.000000,0.000000,0.742857,0.700000,0.520000,0.000000,0.200000,10,1767
0.300000,0.200000,1.000000,0.625000,0.125000,0.675000,0.562500,0.379688,0.000000,0.285714,10,1765
0.500000,0.400000,1.000000,0.833333,0.166667,0.766667,0.716667,0.549444,0.285714,0.000000,10,1592
0.600000,0.700000,0.857143,1.000000,0.000000,0.742857,0.700000,0.520000,0.000000,0.000000,10,1422
0.300000,0.500000,0.600000,1.000000,0.000000,0.640000,0.520000,0.332800,0.125000,0.375000,10,1707
0.600000,0.400000,1.000000,0.500000,0.333333,0.666667,0.516667,0.344444,0.125000,0.250000,10,2026
0.400000,0.200000,1.000000,0.750000,0.250000,0.750000,0.675000,0.506250,0.000000,0.333333,10,1664
0.200000,0.500000,0.400000,0.800000,0.000000,0.480000,0.560000,0.268800,0.000000,0.428571,10,1980
0.200000,0.300000,0.333333,0.857143,0.142857,0.504762,0.490476,0.247574,0.111111,0.444444,10,1894
0.600000,0.700000,0.857143,1.000000,0.000000,0.742857,0.700000,0.520000,0.200000,0.200000,10,2216
0.600000,0.800000,0.750000,1.000000,0.000000,0.700000,0.625000,0.437500,0.000000,0.300000,10,2046
0.400000,0.600000,0.500000,0.750000,0.250000,0.550000,0.725000,0.398750,0.100000,0.400000,10,2146
0.700000,0.600000,0.833333,0.250000,0.500000,0.533333,0.475000,0.253333,0.100000,0.100000,10,2330
0.400000,0.300000,1.000000,0.857143,0.142857,0.771429,0.728571,0.562041,0.000000,0.285714,10,1890
0.500000,0.500000,0.600000,0.400000,0.400000,0.480000,0.820000,0.393600,0.000000,0.307692,10,1939
0.500000,0.500000,1.000000,0.600000,0.000000,0.640000,0.520000,0.332800,0.000000,0.333333,10,1796
0.800000,0.600000,0.833333,0.250000,0.750000,0.583333,0.475000,0.277083,0.250000,0.166667,10,2403
0.300000,0.100000,1.000000,0.777778,0.222222,0.755556,0.688889,0.520494,0.125000,0.375000,10,1909
0.600000,0.600000,0.833333,0.500000,0.250000,0.583333,0.650000,0.379167,0.090909,0.181818,10,1804
0.900000,0.800000,1.000000,0.000000,0.500000,0.500000,0.100000,0.050000,0.181818,0.090909,10,2350
0.400000,0.600000,0.666667,0.750000,0.000000,0.566667,0.791667,0.448611,0.181818,0.272727,10,2200
0.600000,0.800000,0.750000,1.000000,0.000000,0.700000,0.625000,0.437500,0.333333,0.111111,10,2479
0.600000,0.800000,0.625000,0.500000,0.500000,0.550000,0.887500,0.488125,0.000000,0.300000,10,1985
0.700000,0.700000,0.857143,0.666667,0.333333,0.676190,0.761905,0.515193,0.000000,0.000000,10,1388
0.700000,0.700000,0.571429,0.000000,1.000000,0.428571,0.400000,0.171429,0.083333,0.166667,10,1940
0.700000,0.500000,0.600000,0.200000,0.800000,0.480000,0.600000,0.288000,0.000000,0.125000,10,1733
0.500000,0.400000,0.750000,0.666667,0.333333,0.633333,0.858333,0.543611,0.000000,0.363636,10,1873
0.400000,0.400000,1.000000,0.666667,0.000000,0.666667,0.566667,0.377778,0.166667,0.333333,10,2123
0.500000,0.700000,0.714286,1.000000,0.000000,0.685714,0.600000,0.411429,0.100000,0.300000,10,2297
0.800000,0.600000,1.000000,0.500000,0.500000,0.700000,0.550000,0.385000,0.300000,0.000000,10,2108
0.700000,0.500000,1.000000,0.400000,0.400000,0.640000,0.460000,0.294400,0.181818,0.181818,10,2211
0.600000,0.600000,0.666667,0.250000,0.500000,0.466667,0.625000,0.291667,0.000000,0.307692,10,2071
0.500000,0.500000,0.800000,0.800000,0.200000,0.680000,0.880000,0.598400,0.200000,0.300000,10,2463
0.500000,0.800000,0.625000,0.500000,0.000000,0.450000,0.787500,0.354375,0.181818,0.272727,10,2199
0.600000,0.500000,1.000000,0.800000,0.200000,0.760000,0.700000,0.532000,0.250000,0.125000,10,2030
0.300000,0.300000,0.333333,0.571429,0.285714,0.419048,0.776190,0.325261,0.000000,0.555556,10,2118
0.400000,0.600000,0.166667,0.250000,0.750000,0.316667,0.825000,0.261250,0.000000,0.400000,10,2223
0.800000,0.500000,1.000000,0.400000,0.600000,0.680000,0.460000,0.312800,0.230769,0.153846,10,1975
0.500000,0.500000,0.800000,0.600000,0.200000,0.600000,0.740000,0.444000,0.100000,0.200000,10,1687
0.600000,0.600000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.375000,0.000000,10,1917
0.800000,0.700000,1.000000,0.666667,0.333333,0.733333,0.633333,0.464444,0.333333,0.000000,10,2270
0.600000,0.700000,0.714286,0.666667,0.333333,0.619048,0.890476,0.551247,0.333333,0.133333,10,2199
0.700000,0.400000,1.000000,0.333333,0.500000,0.633333,0.400000,0.253333,0.250000,0.083333,10,1863
0.400000,0.300000,0.666667,0.714286,0.285714,0.609524,0.880952,0.536961,0.090909,0.272727,10,1799
0.800000,0.500000,1.000000,0.400000,0.600000,0.680000,0.460000,0.312800,0.111111,0.000000,10,1546
0.400000,0.500000,0.800000,1.000000,0.000000,0.720000,0.660000,0.475200,0.333333,0.166667,10,2025
0.600000,0.600000,0.833333,0.750000,0.250000,0.683333,0.825000,0.563750,0.250000,0.166667,10,2288
0.400000,0.300000,0.666667,0.714286,0.285714,0.609524,0.880952,0.536961,0.125000,0.250000,10,1875
0.500000,0.500000,0.800000,0.800000,0.200000,0.680000,0.880000,0.598400,0.307692,0.230769,10,1977
