sep:,
nb hands: 671 elapse time: 8 [s]
Player,method,win rate,expected win rate,successful win rate,successful loss rate,bluff detected rate,efficiency,n.rn-efficiency,gains,loss,
base0,Base,0.420268,0.305514,0.960976,0.124464,0.301418,0.462286,-0.037714,0.285171,0.026616,
mcts,MCTS_10,0.429210,0.408346,0.875912,0.428212,0.166667,0.490264,-0.009736,0.384030,0.007605,
rn0,random,0.150522,0.286140,0.458333,0.586639,0.128713,0.391228,-0.108772,0.003802,0.638783,
